nusp,funcao,nome,email,telefone
500,Bibliotecário(a),Jacinto Matias,jacinto@usp.br,11996589485
501,Bibliotecário(a),Jerson Aguiar,jerson.aguiar@usp.br,11985647815
502,Bibliotecário(a),Ana Maria,ana.maria@usp.br,11910235689
503,Bibliotecário(a),Bruna Da SIlva,bruna.silva@usp.br,11985654515
504,Bibliotecário(a),Byanka Lazarino,byankalazarino@usp.br,11978484542
505,Bibliotecário(a),Weder Tedesco,weder.tedesco@usp.br,11989562302
506,Bibliotecário(a),Renan Santos,renansantos@usp.br,11955652530
507,Bibliotecário(a),Olavo Paschoal,olavopaschoal@usp.br,11988776625
508,Bibliotecário(a),Carlos Daniel,carlosdaniel@usp.br,11945657815
509,Bibliotecário(a),Charles Wagner,charles.wagner@usp.br,11999895979
