nusp,area,ano_ingresso,nome,email
12345678,computação,2019,Michael Jackson,mjj@usp.br
12478955,mecânica,2016,Arthur Gabriel,arthurgabriel@usp.br
45612844,mecânica,2017,Davi Luiz Arlindo,davi.arlindo@usp.br
58475687,mecânica,2019,Vitor Hugo Seichas,vitorhugoseichas@usp.br
65878445,computação,2020,João Pedro Henrique,joaopedrohenrique@usp.br
92054548,computação,2020,João Pedro Cardoso,joaopedrocardoso@usp.br
5641547,Elétrica,2018,João Pedro Zucci,joaozucci@usp.br
23645878,Elétrica,2018,Flávio Ciparrone,alunopreparado@usp.br
1064587,Elétrica,2019,Luiz Otávio de Souza,luizotavio.souza@usp.br
77845848,Produção,2019,Pedro Henrique Juissen,pedrojuissen@usp.br
65848788,Produção,2018,João Guilherme Negueba,joaonegueba@usp.br
68549874,Produção,2020,Ana Luiza Maracujá,ana.maracuja@usp.br
54517084,Civil,2021,Maria Helena Nogueira Torres,marianogueira.torres@usp.br
65874448,Civil,2018,Benedita Alvarenga de Luzia,benedita.luzia@usp.br
